path,structuremode,solvent,charge,tautomer,conformer,name
flexisol/gas/benzene/diethylcarbonate_chrg0_t0_c0,gas,benzene,0,0,0,diethylcarbonate
flexisol/gas/benzene/diethylcarbonate_chrg0_t0_c1,gas,benzene,0,0,1,diethylcarbonate
flexisol/gas/benzene/diethylcarbonate_chrg0_t0_c2,gas,benzene,0,0,2,diethylcarbonate
flexisol/gas/benzene/diethylcarbonate_chrg0_t0_c3,gas,benzene,0,0,3,diethylcarbonate
flexisol/gas/benzene/diethylcarbonate_chrg0_t0_c4,gas,benzene,0,0,4,diethylcarbonate
flexisol/gas/benzene/diethylcarbonate_chrg0_t0_c5,gas,benzene,0,0,5,diethylcarbonate
flexisol/gas/benzene/diethylcarbonate_chrg0_t0_c6,gas,benzene,0,0,6,diethylcarbonate
"flexisol/gas/chloroform/1,3,5-trinitrobenzene_chrg0_t0_c0",gas,chloroform,0,0,0,"1,3,5-trinitrobenzene"
"flexisol/gas/chloroform/2,4,6-trinitrotoluene_chrg0_t0_c0",gas,chloroform,0,0,0,"2,4,6-trinitrotoluene"
"flexisol/gas/chloroform/2,4,6-trinitrotoluene_chrg0_t0_c1",gas,chloroform,0,0,1,"2,4,6-trinitrotoluene"
"flexisol/gas/chloroform/2,4,6-trinitrotoluene_chrg0_t0_c2",gas,chloroform,0,0,2,"2,4,6-trinitrotoluene"
flexisol/gas/chloroform/4-nitroanisole_chrg0_t0_c0,gas,chloroform,0,0,0,4-nitroanisole
flexisol/gas/chloroform/4-nitroanisole_chrg0_t0_c1,gas,chloroform,0,0,1,4-nitroanisole
"flexisol/gas/chloroform/hexahydro-1-nitroso-3,5-dinitro-1,3,5-triazine_chrg0_t0_c0",gas,chloroform,0,0,0,"hexahydro-1-nitroso-3,5-dinitro-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1-nitroso-3,5-dinitro-1,3,5-triazine_chrg0_t0_c1",gas,chloroform,0,0,1,"hexahydro-1-nitroso-3,5-dinitro-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1-nitroso-3,5-dinitro-1,3,5-triazine_chrg0_t0_c2",gas,chloroform,0,0,2,"hexahydro-1-nitroso-3,5-dinitro-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3-dinitroso-5-nitro-1,3,5-triazine_chrg0_t0_c0",gas,chloroform,0,0,0,"hexahydro-1,3-dinitroso-5-nitro-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3-dinitroso-5-nitro-1,3,5-triazine_chrg0_t0_c1",gas,chloroform,0,0,1,"hexahydro-1,3-dinitroso-5-nitro-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3-dinitroso-5-nitro-1,3,5-triazine_chrg0_t0_c2",gas,chloroform,0,0,2,"hexahydro-1,3-dinitroso-5-nitro-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3-dinitroso-5-nitro-1,3,5-triazine_chrg0_t0_c3",gas,chloroform,0,0,3,"hexahydro-1,3-dinitroso-5-nitro-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane_chrg0_t0_c0",gas,chloroform,0,0,0,"hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane_chrg0_t0_c1",gas,chloroform,0,0,1,"hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane_chrg0_t0_c2",gas,chloroform,0,0,2,"hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane_chrg0_t0_c3",gas,chloroform,0,0,3,"hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane_chrg0_t0_c4",gas,chloroform,0,0,4,"hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane_chrg0_t0_c5",gas,chloroform,0,0,5,"hexahydro-1,3,5-trinitro-1,3,5-triazacyclohexane"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitroso-1,3,5-triazine_chrg0_t0_c0",gas,chloroform,0,0,0,"hexahydro-1,3,5-trinitroso-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitroso-1,3,5-triazine_chrg0_t0_c1",gas,chloroform,0,0,1,"hexahydro-1,3,5-trinitroso-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitroso-1,3,5-triazine_chrg0_t0_c2",gas,chloroform,0,0,2,"hexahydro-1,3,5-trinitroso-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitroso-1,3,5-triazine_chrg0_t0_c3",gas,chloroform,0,0,3,"hexahydro-1,3,5-trinitroso-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitroso-1,3,5-triazine_chrg0_t0_c4",gas,chloroform,0,0,4,"hexahydro-1,3,5-trinitroso-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitroso-1,3,5-triazine_chrg0_t0_c5",gas,chloroform,0,0,5,"hexahydro-1,3,5-trinitroso-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitroso-1,3,5-triazine_chrg0_t0_c6",gas,chloroform,0,0,6,"hexahydro-1,3,5-trinitroso-1,3,5-triazine"
"flexisol/gas/chloroform/hexahydro-1,3,5-trinitroso-1,3,5-triazine_chrg0_t0_c7",gas,chloroform,0,0,7,"hexahydro-1,3,5-trinitroso-1,3,5-triazine"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c0",gas,chloroform,0,0,0,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c1",gas,chloroform,0,0,1,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c10",gas,chloroform,0,0,10,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c11",gas,chloroform,0,0,11,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c2",gas,chloroform,0,0,2,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c3",gas,chloroform,0,0,3,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c4",gas,chloroform,0,0,4,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c5",gas,chloroform,0,0,5,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
