FlexiSol Name,IUPAC Name,Solvent,SMILES,Value (\kcalpmole),Ref.
1r-tetramethrin,"(1,3-dioxo-4,5,6,7-tetrahydroisoindol-2-yl)methyl (1R,3R)-2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropane-1-carboxylate",octanol,CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)C3=C(C2=O)CCCC3)C,-16.565,10.1021/acs.est.2c06170
rs-iprovalicarb,propan-2-yl N-[(2S)-3-methyl-1-[[(1R)-1-(4-methylphenyl)ethyl]amino]-1-oxobutan-2-yl]carbamate,octanol,CC1=CC=C(C=C1)C(C)NC(=O)C(C(C)C)NC(=O)OC(C)C,-15.951,10.1021/acs.est.2c06170
1-nitroguanidin,1-nitroguanidine,octanol,C(=N)(N)N[N+](=O)[O-],-16.278,10.1021/acs.est.2c06170
"1,1-dimethyl-3,3,4,4,5,5-hexabromo--2,2-bipyrrole","2,3,4-tribromo-1-methyl-5-(3,4,5-tribromo-1-methylpyrrol-2-yl)pyrrole",octanol,CN1C(=C(C(=C1Br)Br)Br)C2=C(C(=C(N2C)Br)Br)Br,-15.774,10.1021/acs.est.2c06170
"1,2,3,4-dibenzanthracene",benzo[b]triphenylene,octanol,C1=CC=C2C=C3C4=CC=CC=C4C5=CC=CC=C5C3=CC2=C1,-16.524,10.1021/acs.est.2c06170
"1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin","1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin",octanol,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-15.583,10.1021/acs.est.2c06170
"1,2,3,4,6,7,8,9-octachlorodibenzo-p--dioxin","1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",octanol,C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-18.161,10.1021/acs.est.2c06170
"1,2,3,4,7,8,9-heptachlorodibenzofuran","1,2,3,4,7,8,9-heptachlorodibenzofuran",octanol,C1=C2C(=C(C(=C1Cl)Cl)Cl)C3=C(O2)C(=C(C(=C3Cl)Cl)Cl)Cl,-15.596,10.1021/acs.est.2c06170
"1h-purin-6-amine,-n-phenylmethyl-",N-benzyl-7H-purin-6-amine,octanol,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,-17.547,10.1021/acs.est.2c06170
2-[n-ethyl-4-[4-nitrophenyldiazenyl]anilino]ethanol,2-[N-ethyl-4-[(4-nitrophenyl)diazenyl]anilino]ethanol,octanol,CCN(CCO)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)[N+](=O)[O-],-20.004,10.1021/acs.est.2c06170
2-aminoanthraquinone,"2-aminoanthracene-9,10-dione",octanol,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,-15.678,10.1021/acs.est.2c06170
"2,2,3,3,4,4,5,5,6-nonachlorobiphenyl","1,2,3,4,5-pentachloro-6-(2,3,4,5-tetrachlorophenyl)benzene",octanol,C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl,-15.651,10.1021/acs.est.2c06170
"2,2,3,4,4,5,6-heptabromodiphenylether","1,2,3,5-tetrabromo-4-(2,4,5-tribromophenoxy)benzene",octanol,C1=C(C(=CC(=C1Br)Br)Br)OC2=C(C(=C(C=C2Br)Br)Br)Br,-19.649,10.1021/acs.est.2c06170
"2,2,4,4,5-pentabromodiphenylether","1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene",octanol,C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br,-15.623,10.1021/acs.est.2c06170
"2,2,4,4,5,5-hexabromobiphenyl","1,2,4-tribromo-5-(2,4,5-tribromophenyl)benzene",octanol,C1=C(C(=CC(=C1Br)Br)Br)C2=CC(=C(C=C2Br)Br)Br,-16.374,10.1021/acs.est.2c06170
"2,2,4,4,5,5-hexabromodiphenylether","1,2,4-tribromo-5-(2,4,5-tribromophenoxy)benzene",octanol,C1=C(C(=CC(=C1Br)Br)Br)OC2=CC(=C(C=C2Br)Br)Br,-16.579,10.1021/acs.est.2c06170
"2,2,4,4,5,6-hexabromodiphenylether","1,2,4-tribromo-5-(2,4,6-tribromophenoxy)benzene",octanol,C1=C(C=C(C(=C1Br)OC2=CC(=C(C=C2Br)Br)Br)Br)Br,-16.292,10.1021/acs.est.2c06170
"2,3,3,4,4,5-hexabromodiphenylether","1,2,3,4-tetrabromo-5-(3,4-dibromophenoxy)benzene",octanol,C1=CC(=C(C=C1OC2=CC(=C(C(=C2Br)Br)Br)Br)Br)Br,-16.347,10.1021/acs.est.2c06170
"2,3,4,4,6-pentabromodiphenylether","1,3,5-tribromo-2-(3,4-dibromophenoxy)benzene",octanol,C1=CC(=C(C=C1OC2=C(C=C(C=C2Br)Br)Br)Br)Br,-15.719,10.1021/acs.est.2c06170
"3,3,4,4,5-pentabromodiphenylether","1,2,3-tribromo-5-(3,4-dibromophenoxy)benzene",octanol,C1=CC(=C(C=C1OC2=CC(=C(C(=C2)Br)Br)Br)Br)Br,-16.374,10.1021/acs.est.2c06170
"4,7-dibromobenz[a]anthracene","4,7-dibromobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=C3C4=C(C=CC3=C2Br)C(=CC=C4)Br,-17.438,10.1021/acs.est.2c06170
"5,7-dibromobenz[a]anthracene","5,7-dibromobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=C3C4=CC=CC=C4C(=CC3=C2Br)Br,-17.506,10.1021/acs.est.2c06170
"5-oh-2,2,4,4,5-pentabromodiphenylether","2,4-dibromo-5-(2,4,5-tribromophenoxy)phenol",octanol,C1=C(C(=CC(=C1OC2=CC(=C(C=C2Br)Br)Br)Br)Br)O,-15.651,10.1021/acs.est.2c06170
6-bromobenzo[a]pyrene,6-bromobenzo[a]pyrene,octanol,C1=CC=C2C(=C1)C3=C4C(=C2Br)C=CC5=CC=CC(=C54)C=C3,-17.67,10.1021/acs.est.2c06170
6-chlorobenzo[a]pyrene,6-chlorobenzo[a]pyrene,octanol,C1=CC=C2C(=C1)C3=C4C(=C2Cl)C=CC5=CC=CC(=C54)C=C3,-17.411,10.1021/acs.est.2c06170
"6,12-dichlorochrysene","6,12-dichlorochrysene",octanol,C1=CC=C2C(=C1)C(=CC3=C2C=C(C4=CC=CC=C43)Cl)Cl,-16.483,10.1021/acs.est.2c06170
7-bromobenz[a]anthracene,7-bromobenzo[a]anthracene,octanol,C1=CC=C2C(=C1)C=CC3=C(C4=CC=CC=C4C=C32)Br,-16.006,10.1021/acs.est.2c06170
"7,11-dibromobenz[a]anthracene","7,11-dibromobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=CC3=C(C4=C(C=C32)C(=CC=C4)Br)Br,-17.22,10.1021/acs.est.2c06170
"7,12-dibromobenz[a]anthracene","7,12-dibromobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=CC3=C(C4=CC=CC=C4C(=C32)Br)Br,-17.275,10.1021/acs.est.2c06170
"7,12-dichlorobenz[a]anthracene","7,12-dichlorobenzo[a]anthracene",octanol,C1=CC=C2C(=C1)C=CC3=C(C4=CC=CC=C4C(=C32)Cl)Cl,-16.442,10.1021/acs.est.2c06170
ametoctradin,"5-ethyl-6-octyl-[1,2,4]triazolo[1,5-a]pyrimidin-7-amine",octanol,CCCCCCCCC1=C(N2C(=NC=N2)N=C1CC)N,-18.735,10.1021/acs.est.2c06170
anti-isopyrazam,"3-(difluoromethyl)-1-methyl-N-[(1S,8R,11S)-11-propan-2-yl-3-tricyclo[6.2.1.02,7]undeca-2(7),3,5-trienyl]pyrazole-4-carboxamide",octanol,CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C,-19.076,10.1021/acs.est.2c06170
beflubutamid,N-benzyl-2-[4-fluoro-3-(trifluoromethyl)phenoxy]butanamide,octanol,CCC(C(=O)NCC1=CC=CC=C1)OC2=CC(=C(C=C2)F)C(F)(F)F,-15.678,10.1021/acs.est.2c06170
benomyl,methyl N-[1-(butylcarbamoyl)benzimidazol-2-yl]carbamate,octanol,CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,-15.664,10.1021/acs.est.2c06170
