name,charge1,solvent1,ref,alpb,cpcm-x,ddcosmo,directml,cigin,ese-ee-dnn,ese-gb-dnn,uese,ese-pm7,solv-pc,solv-spts,solv-sptv,cpcm,smd,dcosmors,opencosmors,cosmors,err_alpb,err_cpcmx,err_ddcosmo,err_directml,err_cigin,err_ese-ee-dnn,err_ese-gb-dnn,err_uese,err_ese-pm7,err_solv-PC,err_solv-SPTS,err_solv-SPTV,err_cpcm,err_smd,err_dcosmors,err_dcosmors-add,err_opencosmors,err_cosmors-1601,datapoint,solvent2
1r-tetramethrin,0,octanol,-16.565,-18.44881681991727,-18.8733430886771,-9.242523051593723,-16.544419577965883,-12.238273129921986,-20.1256332221775,-17.988625494593016,-22.539841213856263,-13.110358969545944,-22.028032456169843,-25.914949147089978,-32.04674334941692,-11.701195187234902,-16.295411318219706,-16.572540617067638,-16.775028013931536,-15.419427959750667,-1.883816819917268,-2.3083430886770984,7.322476948406276,0.0205804220341185,4.326726870078016,-3.560633222177497,-1.423625494593015,-5.974841213856262,3.454641030454056,-5.463032456169842,-9.349949147089976,-15.48174334941692,4.8638048127651,0.269588681780295,-0.0075406170676366,-1.4913301945613568,-0.2100280139315344,1.1455720402493323,gsolv,
rs-iprovalicarb,0,octanol,-15.951,-17.777643308555408,-16.237305769940985,-7.134997021880271,-19.96944236680731,-14.203002780463883,-55.58947149135819,-9.894425401530349,-24.948572139585316,-17.05645859673888,-17.221137639303752,-21.768588150232368,-28.776173444503,-11.526164333966529,-16.54947638564256,-17.64194317371673,-16.70264795909912,-13.216190323001475,-1.826643308555408,-0.2863057699409843,8.81600297811973,-4.01844236680731,1.747997219536117,-39.63847149135819,6.056574598469652,-8.997572139585312,-1.105458596738881,-1.2701376393037511,-5.817588150232368,-12.825173444503,4.424835666033474,-0.5984763856425594,-1.6909431737167289,-3.816889249833373,-0.7516479590991203,2.734809676998525,gsolv,
1-nitroguanidin,0,octanol,-16.278,-13.161429767641602,-10.57809556634282,-7.563955733345777,-10.862435007445994,-13.889607181680788,-11.917307714422751,-11.569487165907582,-13.12101207662447,-15.79919468796104,-22.12992604733903,-21.49992642538561,-20.849927504744105,-11.557598063332554,-10.414466617613192,-17.922256315407132,-11.498633647010884,-8.87424007780087,3.116570232358397,5.69990443365718,8.714044266654222,5.415564992554005,2.388392818319211,4.360692285577246,4.708512834092417,3.156987923375528,0.4788053120389595,-5.851926047339031,-5.221926425385611,-4.571927504744107,4.720401936667445,5.863533382386805,-1.6442563154071337,-4.783713176131826,4.779366352989115,7.403759922199129,gsolv,
"1,1-dimethyl-3,3,4,4,5,5-hexabromo--2,2-bipyrrole",0,octanol,-15.774,-18.03721651049025,-18.337764870187456,-5.938258133131796,-16.430982272982344,-12.901369915228532,-14.76226819322807,-16.256231138678594,-20.271059963335937,-15.827165419131653,-12.39555375048988,-11.51608905602798,-15.279639274991544,-5.850301898839861,-13.800112604471252,-15.696020974069224,-16.031991239068912,-15.7254511887359,-2.263216510490251,-2.563764870187457,9.835741866868204,-0.6569822729823453,2.872630084771467,1.0117318067719283,-0.4822311386785944,-4.497059963335937,-0.0531654191316537,3.3784462495101195,4.257910943972018,0.4943607250084554,9.923698101160138,1.973887395528747,0.0779790259307748,-2.247184982404137,-0.2579912390689127,0.0485488112640997,gsolv,
"1,2,3,4-dibenzanthracene",0,octanol,-16.524,-11.725419604207842,-13.21064478812456,-0.0025489509312655,-17.51018710452707,-12.967235721139827,-15.364838908707616,-15.744838908708855,-19.504838908706333,-11.624838908706453,-10.79483890870574,-11.764838908707375,-13.33483890870088,-7.287545798476741,-13.388841554832553,-12.266391779401856,-13.452400363358718,-13.828906296426148,4.798580395792159,3.313355211875441,16.521451049068734,-0.9861871045270688,3.556764278860173,1.1591610912923844,0.7791610912911455,-2.980838908706332,4.89916109129355,5.7291610912942605,4.759161091292624,3.189161091299121,9.23645420152326,3.1351584451674483,4.257608220598144,2.3550136722394512,3.0715996366412828,2.6950937035738534,gsolv,
"1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin",0,octanol,-15.583,-12.60600487819774,-15.495575765451534,-2.6558959822799766,-14.940597451542043,-12.21687698733383,-12.867560161462842,-15.88756016146307,-17.197560161464406,-6.69756016146185,-16.437560161461928,-15.167560161462127,-17.52756016146372,-3.752344192431829,-8.098465891946608,-12.872770902579475,-13.579263690900024,-13.570561034928485,2.9769951218022594,0.0874242345484663,12.927104017720024,0.642402548457957,3.3661230126661703,2.715439838537158,-0.3045601614630691,-1.6145601614644054,8.88543983853815,-0.8545601614619276,0.4154398385378712,-1.9445601614637216,11.83065580756817,7.484534108053392,2.710229097420523,0.7636153365774287,2.0037363090999776,2.0124389650715155,gsolv,
"1,2,3,4,6,7,8,9-octachlorodibenzo-p--dioxin",0,octanol,-18.161,-12.617319046490516,-15.94605478443085,-2.2133765650095607,-15.623283272028385,-12.210884971639215,-12.413340759298269,-16.223340759306584,-17.663340759299547,-7.873340759302003,-16.91334075930191,-15.483340759304877,-18.143340759300173,-3.476320832508405,-8.173147360637932,-13.132033342946109,-13.96837322214772,-14.02341469390712,5.543680953509487,2.214945215569152,15.94762343499044,2.537716727971617,5.950115028360784,5.747659240701735,1.9376592406934168,0.4976592407004538,10.287659240697998,1.2476592406980913,2.6776592406951263,0.0176592406998281,14.684679167491597,9.98785263936207,5.028966657053895,3.0784446193655235,4.192626777852281,4.13758530609288,gsolv,
"1,2,3,4,7,8,9-heptachlorodibenzofuran",0,octanol,-15.596,-12.69712250056527,-14.826260595094103,-2.850666710981879,-14.21659492021012,-12.676184169986264,-12.43595364782771,-15.815953647823946,-15.985953647826026,-5.965953647828555,-15.025953647820314,-13.675953647830816,-15.65595364782671,-3.287164612565568,-8.109208599962964,-12.282662487418005,-12.556590549776413,-12.781285881783196,2.8988774994347306,0.7697394049058968,12.74533328901812,1.3794050797898798,2.9198158300137376,3.160046352172291,-0.2199536478239458,-0.3899536478260259,9.630046352171444,0.5700463521796859,1.9200463521691853,-0.0599536478267097,12.308835387434431,7.486791400037037,3.313337512581997,1.3512517787840572,3.0394094502235878,2.814714118216804,gsolv,
"1h-purin-6-amine,-n-phenylmethyl-",0,octanol,-17.547,-16.509970676245263,-18.35834910730816,-6.641941733660872,-18.918229948690488,-16.105667430810925,-12.948004293637409,-17.066284462725026,-21.979646815116386,-17.620906232902307,-19.490975911218836,-20.173781774442457,-21.40722077094396,-17.329654764391982,-23.40677013358009,-24.64202262833949,-23.48910126132809,-19.459952924809905,1.0370293237547372,-0.8113491073081569,10.905058266339127,-1.3712299486904875,1.4413325691890757,4.598995706362592,0.4807155372749747,-4.432646815116382,-0.0739062329023063,-1.943975911218832,-2.626781774442456,-3.860220770943961,0.2173452356080183,-5.8597701335800885,-7.0950226283394855,-10.82428516960674,-5.942101261328091,-1.912952924809904,gsolv,
2-[n-ethyl-4-[4-nitrophenyldiazenyl]anilino]ethanol,0,octanol,-20.004,-22.449767589748983,-21.277316419431333,-11.403826976198086,-19.75330023545149,-16.84737148080528,-114.9681468482089,-16.318874676803397,-26.66180158201485,-18.8798660325959,-31.395774543564883,-33.818713837767405,-38.3623860019555,-15.671071796817442,-18.24404475614373,-21.89616756253946,-19.78012349432297,-18.909913370026384,-2.445767589748982,-1.2733164194313318,8.600173023801915,0.2506997645485107,3.1566285191947223,-94.9641468482089,3.685125323196605,-6.657801582014844,1.1241339674041022,-11.391774543564882,-13.814713837767403,-18.3583860019555,4.33292820318256,1.7599552438562718,-1.8921675625394592,-4.104762598039041,0.2238765056770262,1.0940866299736172,gsolv,
