name,charge1,solvent1,ref,alpb,cpcm-x,ddcosmo,directml,cigin,ese-ee-dnn,ese-gb-dnn,uese,ese-pm7,solv-pc,solv-spts,solv-sptv,cpcm,smd,dcosmors,opencosmors,cosmors,err_alpb,err_cpcmx,err_ddcosmo,err_directml,err_cigin,err_ese-ee-dnn,err_ese-gb-dnn,err_uese,err_ese-pm7,err_solv-PC,err_solv-SPTS,err_solv-SPTV,err_cpcm,err_smd,err_dcosmors,err_dcosmors-add,err_opencosmors,err_cosmors-1601,datapoint,solvent2
1r-tetramethrin,0,octanol,-16.565,-17.77610768871874,-18.166449056302827,-8.539146541453334,-15.950880702795663,-11.644734254742849,-19.45724207122763,-17.5759429277148,-21.88805652310782,-12.448873204379453,-21.3360778573708,-25.22526889342409,-31.360150386473848,-11.003260908844352,-15.6123300256137,-15.95770727038732,-16.094594857854865,-14.81603685934962,-1.2111076887187373,-1.601449056302826,8.025853458546667,0.6141192972043381,4.9202657452571525,-2.892242071227628,-1.0109429277147974,-5.32305652310782,4.11612679562055,-4.771077857370795,-8.660268893424089,-14.795150386473846,5.5617390911556495,0.9526699743863016,0.6072927296126807,-0.8984249562027671,0.470405142145136,1.74896314065038,gsolv,
rs-iprovalicarb,0,octanol,-15.951,-17.8202394331174,-16.101408391704712,-6.753747727743471,-20.202561606039332,-14.436122019794,-57.16130871652175,-10.117452880878815,-25.15228791177249,-17.239635528713315,-17.520650005969333,-22.041606851456635,-29.00025012562982,-11.303877567060791,-16.466843331805038,-17.772216807460055,-16.516676908923916,-13.31119082866678,-1.8692394331174,-0.1504083917047118,9.197252272256527,-4.251561606039335,1.5148779802060002,-41.21030871652175,5.833547119121183,-9.20128791177249,-1.2886355287133142,-1.5696500059693328,-6.090606851456634,-13.049250125629818,4.647122432939208,-0.515843331805037,-1.821216807460054,-3.991789940376457,-0.5656769089239155,2.6398091713332192,gsolv,
1-nitroguanidin,0,octanol,-16.278,-11.56386180841552,-9.04599041281002,-5.998048425752741,-9.282809918500746,-12.30998209273554,-10.36947306364662,-9.98533973163488,-11.497447987473455,-14.197966667249878,-20.566494082265923,-19.936494348200117,-19.286495138399214,-9.89769307030453,-8.767399209209497,-16.22960419306138,-9.942462876896426,-7.24377669755865,4.71413819158448,7.23200958718998,10.279951574247256,6.995190081499253,3.968017907264459,5.908526936353379,6.292660268365118,4.780552012526542,2.080033332750121,-4.288494082265924,-3.658494348200115,-3.008495138399219,6.380306929695468,7.510600790790502,0.0483958069386183,-3.087292059363911,6.335537123103572,9.034223302441347,gsolv,
"1,1-dimethyl-3,3,4,4,5,5-hexabromo--2,2-bipyrrole",0,octanol,-15.774,-18.230409832118955,-18.537735571193394,-6.140731781444639,-16.614776786741754,-13.08516442798919,-14.942954098182572,-16.441174777706483,-20.4548101675364,-16.013786236056163,-12.567601623883167,-11.688098069907726,-15.452132741198612,-6.047328878941335,-13.99833313231288,-15.882917163424834,-16.221244461105826,-15.911270936858417,-2.456409832118956,-2.7637355711933957,9.63326821855536,-0.8407767867417544,2.688835572010809,0.8310459018174274,-0.6671747777064834,-4.680810167536398,-0.2397862360561635,3.20639837611683,4.085901930092273,0.3218672588013866,9.726671121058663,1.7756668676871197,-0.1089171634248344,-2.434607769559777,-0.4472444611058268,-0.1372709368584157,gsolv,
"1,2,3,4-dibenzanthracene",0,octanol,-16.524,-11.99231911839238,-13.477544302398274,-0.2694484651826859,-17.777086618823077,-13.234135235511634,-15.63173842301254,-16.01173842291123,-19.77173842302017,-11.891738423055964,-11.061738423010665,-12.03173842298109,-13.6017384230281,-7.554445312754914,-13.655741069110723,-12.533291293755829,-13.719299877694851,-14.09580581078012,4.53168088160762,3.0464556976017274,16.254551534817313,-1.253086618823076,3.2898647644883674,0.89226157698746,0.512261577088772,-3.2477384230201736,4.632261576944037,5.462261576989336,4.49226157701891,2.922261576971902,8.969554687245086,2.868258930889276,3.990708706244172,2.0881141579568183,2.804700122305148,2.428194189219882,gsolv,
"1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin",0,octanol,-15.583,-12.734992211569482,-15.624563099171056,-2.7848833157943966,-15.06958478517239,-12.3458643215884,-12.996547495503393,-16.01654749511125,-17.32654749510367,-6.826547494726582,-16.566547495306295,-15.296547495333249,-17.656547494764123,-3.881331526659645,-8.227453225603707,-13.001758236236578,-13.708251024521452,-13.699548368719348,2.848007788430518,-0.0415630991710553,12.798116684205604,0.5134152148276101,3.237135678411601,2.586452504496608,-0.4335474951112505,-1.7435474951036714,8.756452505273419,-0.9835474953062951,0.2864525046667534,-2.0735474947641226,11.701668473340357,7.355546774396293,2.581241763763422,0.6346280029203282,1.874748975478548,1.8834516312806533,gsolv,
"1,2,3,4,6,7,8,9-octachlorodibenzo-p--dioxin",0,octanol,-18.161,-12.705140840228108,-16.033876578373544,-2.3011983592911176,-15.711105066238602,-12.298706765849436,-12.501162553187458,-16.311162553391956,-17.751162553518682,-7.961162553414129,-17.00116255322677,-15.571162553461589,-18.231162553180443,-3.5641426265313565,-8.260969154660883,-13.21985513696906,-14.056195016411444,-14.111236487814146,5.455859159771894,2.1271234216264574,15.859801640708884,2.4498949337613998,5.862293234150567,5.659837446812544,1.8498374466080456,0.409837446481319,10.199837446585873,1.1598374467732313,2.5898374465384126,-0.0701625531804417,14.596857373468644,9.90003084533912,4.941144863030942,2.990622825342573,4.104804983588558,4.049763512185855,gsolv,
"1,2,3,4,7,8,9-heptachlorodibenzofuran",0,octanol,-15.596,-12.784052731850707,-14.913190826375082,-2.9375969422673167,-14.303525151829962,-12.763114401878086,-12.52288387931379,-15.902883879096008,-16.072883878964326,-6.052883878534359,-15.112883879070084,-13.762883879343647,-15.742883879018514,-3.3740948438287117,-8.19613883094075,-12.369592718681147,-12.643520781191151,-12.868216113090927,2.811947268149293,0.6828091736249178,12.658403057732684,1.2924748481700377,2.832885598121914,3.07311612068621,-0.3068838790960075,-0.4768838789643261,9.54311612146564,0.4831161209299175,1.8331161206563529,-0.1468838790185138,12.221905156171289,7.39986116905925,3.2264072813188527,1.2643215475253715,2.952479218808847,2.727783886909071,gsolv,
"1h-purin-6-amine,-n-phenylmethyl-",0,octanol,-17.547,-15.952946254313884,-17.826407028991067,-6.086714971672548,-18.33467093169006,-15.522108413935344,-12.382168741588956,-16.536067095039375,-21.394485774494783,-16.98721986958114,-18.790208112085978,-19.44488379541804,-20.563621482560595,-16.293728439215855,-22.37569023931551,-23.58962921103044,-22.44363849931713,-18.402933209202924,1.594053745686116,-0.2794070289910664,11.460285028327451,-0.7876709316900588,2.0248915860646566,5.164831258411045,1.010932904960626,-3.8474857744947855,0.5597801304188614,-1.243208112085977,-1.897883795418036,-3.016621482560595,1.253271560784146,-4.82869023931551,-6.042629211030441,-9.772296357680844,-4.896638499317135,-0.8559332092029237,gsolv,
2-[n-ethyl-4-[4-nitrophenyldiazenyl]anilino]ethanol,0,octanol,-20.004,-21.848192169598317,-20.450499240525296,-10.709718710143932,-19.216195189982923,-16.31026643534563,-114.75561002025012,-15.394776900151522,-25.935624174807398,-18.095925459328328,-29.899443981216084,-32.31128802463908,-36.78788656904708,-14.45685075806685,-16.951686279267797,-20.69088078270887,-18.63388751955786,-18.00050721902773,-1.844192169598312,-0.446499240525295,9.29428128985607,0.7878048100170787,3.693733564654373,-94.75161002025013,4.60922309984848,-5.931624174807393,1.9080745406716737,-9.895443981216085,-12.307288024639082,-16.783886569047073,5.547149241933152,3.0523137207322044,-0.6868807827088688,-2.889312517020329,1.3701124804421418,2.0034927809722696,gsolv,
